Nama Karakter,MBTI,Umur,Tinggi (cm),Grup,Sub-Kelompok,Role / Kekuatan Utama,Kategori Tinggi,ID Karakter,HP,ATK,DEF,SPD,Crit Rate,MP,Win Rate,Potensi Damage,Faction,Total Stat,Role,Tanggal Lahir,Umur Akurat,Status Squad
Paula Lopez,INTP,23,171,Modern,The Analysts,Fracture Surge,Normal,Paula Lopez [INTP],120,85,65,70,88.00%,310,69.00%,159.80,Northern Tundra,651.57,Balanced,9/14/2002,23 Tahun,Tactician
Hiromi Masaki,INTJ,23,175,Modern,The Analysts,Gravity Rend,Tinggi,Hiromi Masaki [INTJ],130,90,75,60,15.00%,330,54.00%,103.50,Eastern Sunrise,685.69,Attacker,1/19/2002,24 Tahun,Squad Inti
Gillian Wiley,ENTJ,23,172,Modern,The Analysts,Ruin Pulse Engine,Normal,Gillian Wiley [ENTJ],140,88,80,65,35.00%,200,51.00%,118.80,Southern Isles,573.86,Attacker,7/8/2002,23 Tahun,Squad Inti
Chiyo Funai,ISTJ,23,173,Modern,The Sentinels,Guillotine Line,Normal,Chiyo Funai [ISTJ],135,65,90,55,50.00%,300,74.00%,97.50,Western Citadel,646.24,Support,1/8/2002,24 Tahun,Tanker
Shizuka Aikawa,ESTJ,23,169,Modern,The Sentinels,Warbrand Arsenal,Normal,Shizuka Aikawa [ESTJ],145,80,85,50,25.00%,300,70.00%,100.00,Western Citadel,660.95,Balanced,12/28/2002,23 Tahun,Tanker
Cael Dunmore,ESTP,23,180,Fantasy,The Explorers,Probability Flux / Treasure Hunter,Tinggi,Cael Dunmore [ESTP],120,84,65,88,45.00%,180,55.00%,121.80,Eastern Sunrise,538,Balanced,2/2/2002,24 Tahun,Elite Spy
Seren Ashvale,ENTJ,23,175,Fantasy,The Analysts,Absolute Command / General,Tinggi,Seren Ashvale [ENTJ],135,88,80,62,62.00%,270,67.00%,142.56,Northern Tundra,636.29,Attacker,3/24/2002,24 Tahun,Squad Inti
Caius Nox,INTJ,23,178,Fantasy,The Analysts,Fate Weave / Royal Advisor,Tinggi,Caius Nox [INTJ],122,80,75,70,85.00%,120,68.00%,148.00,Northern Tundra,468.53,Balanced,4/28/2002,24 Tahun,Tactician
Orin Eld,INFJ,23,176,Fantasy,The Diplomats,Moment moment of Truth / Oracle,Tinggi,Orin Eld [INFJ],110,70,70,65,72.00%,290,61.00%,120.40,Northern Tundra,606.33,Support,1/17/2002,24 Tahun,Reguler
Kiran Sol,ESTJ,23,175,Fantasy,The Sentinels,Zone of Order / City Watch Captain,Tinggi,Kiran Sol [ESTJ],138,82,82,58,30.00%,350,60.00%,106.60,Northern Tundra,710.9,Balanced,5/1/2002,24 Tahun,Tanker
Tobias Rey,ESFJ,23,178,Fantasy,The Sentinels,Triage Field / Field Medic,Tinggi,Tobias Rey [ESFJ],132,60,80,60,30.00%,280,58.00%,78.00,Southern Isles,612.88,Support,6/7/2002,23 Tahun,Tanker
Hayami Amamiya,ISTP,22,173,Modern,The Explorers,Elemental Mastery,Normal,Hayami Amamiya [ISTP],110,98,82,95,43.00%,340,91.00%,140.14,Northern Tundra,726.34,Attacker,2/16/2003,23 Tahun,Squad Inti
Shiina Ishioka,ISFP,22,165,Modern,The Explorers,Essence Severance,Pendek,Shiina Ishioka [ISFP],105,80,50,90,42.00%,330,50.00%,113.60,Southern Isles,655.92,Balanced,3/30/2003,23 Tahun,Elite Spy
Mayumi Sasaki,ISFJ,22,168,Modern,The Sentinels,Damage Reflection Lattice,Normal,Mayumi Sasaki [ISFJ],150,55,95,45,68.00%,140,64.00%,92.40,Western Citadel,486.32,Support,3/6/2003,23 Tahun,Tanker
Lily Raven,ESFJ,22,167,Modern,The Sentinels,Heartstrike Overload,Pendek,Lily Raven [ESFJ],120,78,70,75,25.00%,280,52.00%,97.50,Western Citadel,623.77,Balanced,9/2/2003,22 Tahun,Reguler
Himiko Nakayama,ENFJ,22,169,Modern,The Diplomats,Dominion Mark,Normal,Himiko Nakayama [ENFJ],125,72,75,70,40.00%,150,66.00%,100.80,Western Citadel,493.06,Support,4/21/2003,23 Tahun,Reguler
Katie Olson,INFP,22,165,Modern,The Diplomats,Soulfire Manifestation,Pendek,Katie Olson [INFP],105,88,55,75,55.00%,160,58.00%,136.40,Southern Isles,484.13,Attacker,3/12/2003,23 Tahun,Squad Inti
Aldric Crane,ISTP,22,184,Fantasy,The Explorers,Primal Sovereign / Engineer,Tinggi,Aldric Crane [ISTP],130,95,85,87,75.00%,350,62.00%,166.25,Northern Tundra,748.37,Attacker,8/21/2003,22 Tahun,Squad Inti
Sylvaine Morrel,INTP,22,173,Fantasy,The Analysts,Runic Deconstruction / Scholar,Normal,Sylvaine Morrel [INTP],112,92,58,68,50.00%,210,63.00%,138.00,Eastern Sunrise,541.13,Attacker,1/29/2003,23 Tahun,Squad Inti
Rhen Caen,ENFJ,22,181,Fantasy,The Diplomats,Covenant Bond / Healer & Diplomat,Tinggi,Rhen Caen [ENFJ],140,65,85,55,55.00%,240,72.00%,100.75,Western Citadel,586.27,Support,5/16/2003,23 Tahun,Tanker
Dorian Penn,ISTJ,22,179,Fantasy,The Sentinels,Archive of Blades / Guild Archivist,Tinggi,Dorian Penn [ISTJ],128,80,78,64,90.00%,90,81.00%,152.00,Eastern Sunrise,441.71,Balanced,3/4/2003,23 Tahun,Reguler
Mica Dwyer,ENTP,21,168,Modern,The Analysts,Adaptive Mutation,Normal,Mica Dwyer [ENTP],115,75,70,85,40.00%,260,75.00%,105.00,Eastern Sunrise,606.15,Balanced,6/11/2004,21 Tahun,Tactician
Shaye Kaylen,ESTP,21,171,Modern,The Explorers,Combat Escalation Law,Normal,Shaye Kaylen [ESTP],125,87,65,80,58.00%,190,56.00%,137.46,Eastern Sunrise,548.14,Balanced,7/30/2004,21 Tahun,Brawler
Theresa Felix,ESFP,21,167,Modern,The Explorers,Sensory Collapse Domain,Pendek,Theresa Felix [ESFP],115,70,55,85,48.00%,220,61.00%,103.60,Western Citadel,546.09,Support,7/14/2004,21 Tahun,Elite Spy
Sonia Spade,INFJ,21,166,Modern,The Diplomats,Emotional Vectoring,Pendek,Sonia Spade [INFJ],110,60,65,80,38.00%,380,55.00%,82.80,Northern Tundra,695.93,Support,2/27/2004,22 Tahun,Reguler
Emily Caddel,ENFP,21,167,Modern,The Diplomats,Dimensional Phase Shifting,Pendek,Emily Caddel [ENFP],110,75,60,90,80.00%,110,63.00%,135.00,Southern Isles,446.43,Balanced,5/18/2004,22 Tahun,Elite Spy
Mara Solene,ESFP,21,168,Fantasy,The Explorers,Resonant Aria / Performer,Normal,Mara Solene [ESFP],115,70,60,82,60.00%,220,71.00%,112.00,Eastern Sunrise,548.31,Support,3/25/2004,22 Tahun,Ranger
Luno Bright,ISFP,21,170,Fantasy,The Explorers,Living Canvas / Cartographer,Normal,Luno Bright [ISFP],110,75,65,75,70.00%,210,48.00%,127.50,Southern Isles,536.18,Balanced,7/12/2004,21 Tahun,Ranger
Zivan Holt,ENTP,21,180,Fantasy,The Analysts,Transmutation Aura / Alchemist,Tinggi,Zivan Holt [ENTP],118,85,70,75,20.00%,340,52.00%,102.00,Eastern Sunrise,688.72,Balanced,11/9/2004,21 Tahun,Tactician
