Nama Karakter,MBTI,Umur,Tinggi (cm),Grup,Sub-Kelompok,Role / Kekuatan Utama,Kategori Tinggi,ID Karakter,HP,ATK,DEF,SPD,Crit Rate,MP,Win Rate,Potensi Damage,Faction,Total Stat,Role,Tanggal Lahir,Umur Akurat,Status Squad
Hugo Watanabe,INFP,22,179,Fantasy,The Diplomats,Essence Severance,Tinggi,Hugo Watanabe [INFP],35.31,14.19,9.57,73.17,73.04%,212.79,44.04%,24.5544,Western Citadel,346.2008,Support,1/2/2002,22 Tahun,Reguler
Nora Drayton,INFJ,22,181,Fantasy,The Diplomats,Archive of Blades / Guild Archivist,Tinggi,Nora Drayton [INFJ],23.69,66.4,85.15,34.54,57.58%,378.8,74.85%,104.6331,Western Citadel,589.9043,Balanced,3/12/2002,22 Tahun,Tanker
Felix Ashby,INTP,21,162,Fantasy,The Analysts,Elemental Mastery,Pendek,Felix Ashby [INTP],78.28,20.61,46.81,6.08,95.72%,52.53,72.18%,40.3379,Eastern Sunrise,205.989,Balanced,8/5/2003,21 Tahun,Tactician
Aria Velmont,INTP,21,181,Modern,The Analysts,Guillotine Line,Tinggi,Aria Velmont [INTP],13.09,43.12,9.52,31.67,39.67%,3.26,63.55%,60.2257,Eastern Sunrise,101.6922,Attacker,5/9/2003,21 Tahun,Tanker
Vesper Muller,INFP,21,171,Modern,The Diplomats,Fate Weave / Royal Advisor,Normal,Vesper Muller [INFP],138.41,13.96,86.53,60.37,64.72%,299.14,58.37%,22.9949,Eastern Sunrise,599.6409,Attacker,9/3/2003,21 Tahun,Squad Inti
Kaito Nakamura,ESTP,22,166,Fantasy,The Explorers,Fracture Surge,Pendek,Kaito Nakamura [ESTP],115.81,80.0,84.77,12.6,26.74%,329.12,43.26%,101.392,Northern Tundra,623.0,Attacker,10/16/2002,22 Tahun,Squad Inti
Chiyo Fitzgerald,INFP,21,185,Fantasy,The Diplomats,Heartstrike Overload,Tinggi,Chiyo Fitzgerald [INFP],58.51,81.56,53.9,18.94,43.57%,16.0,78.57%,117.0957,Southern Isles,230.1314,Support,3/29/2003,21 Tahun,Squad Inti
Orin Hargrove,ISFP,22,166,Fantasy,The Explorers,Archive of Blades / Guild Archivist,Pendek,Orin Hargrove [ISFP],58.15,44.37,95.95,88.37,91.69%,169.02,43.14%,85.0529,Western Citadel,457.2083,Support,5/27/2002,22 Tahun,Squad Inti
Kaito Sato,ISTP,21,169,Fantasy,The Explorers,Fracture Surge,Normal,Kaito Sato [ISTP],102.06,60.82,98.74,67.01,44.18%,176.58,79.94%,87.6903,Southern Isles,506.4512,Support,2/16/2003,21 Tahun,Tanker
Lux Inoue,INFJ,22,185,Modern,The Diplomats,Essence Severance,Tinggi,Lux Inoue [INFJ],98.92,74.56,86.76,23.89,41.10%,344.34,58.00%,105.2042,Northern Tundra,629.461,Support,6/19/2002,22 Tahun,Tanker
Shaela Farell,ESTP,22,166,Fantasy,The Explorers,Essence Severance,Pendek,Shaela Farell [ESTP],112.54,74.15,47.33,53.57,66.85%,248.3,74.43%,123.7193,Northern Tundra,537.3028,Balanced,6/25/2002,22 Tahun,Ranger
Nami Upton,ISFP,23,161,Fantasy,The Explorers,Dimensional Phase Shifting,Pendek,Nami Upton [ISFP],63.1,37.55,56.17,94.88,36.57%,235.62,74.05%,51.282,Eastern Sunrise,488.4262,Attacker,4/30/2001,23 Tahun,Elite Spy
Dara Muller,ISFJ,21,174,Fantasy,The Sentinels,Elemental Mastery,Normal,Dara Muller [ISFJ],63.31,95.48,18.7,25.77,61.54%,110.16,80.04%,154.2384,Western Citadel,314.8358,Support,3/8/2003,21 Tahun,Brawler
Nami Ashby,ENFP,21,167,Fantasy,The Diplomats,Fracture Surge,Pendek,Nami Ashby [ENFP],78.95,12.37,79.83,8.14,10.35%,262.42,70.63%,13.6503,Southern Isles,442.5198,Attacker,7/31/2003,21 Tahun,Tanker
Finn Ashvale,ESTP,23,172,Modern,The Explorers,Essence Severance,Normal,Finn Ashvale [ESTP],8.12,51.62,55.97,29.92,15.18%,335.3,74.88%,59.4559,Northern Tundra,481.8306,Attacker,3/16/2001,23 Tahun,Squad Inti
Nami Ravenswood,ISTP,23,166,Modern,The Explorers,Probability Flux / Treasure Hunter,Pendek,Nami Ravenswood [ISTP],105.57,65.61,81.71,9.06,75.23%,271.47,77.13%,114.9684,Northern Tundra,534.9436,Support,12/22/2001,23 Tahun,Brawler
Aria Whitmore,INFP,22,185,Modern,The Diplomats,Covenant Bond / Healer & Diplomat,Tinggi,Aria Whitmore [INFP],92.63,76.29,61.5,34.67,40.82%,22.07,68.13%,107.4316,Eastern Sunrise,288.2495,Support,4/20/2002,22 Tahun,Tactician
Mirel Dunstan,ESTJ,23,183,Modern,The Sentinels,Triage Field / Field Medic,Tinggi,Mirel Dunstan [ESTJ],35.43,91.76,79.53,78.49,61.01%,395.96,72.99%,147.7428,Eastern Sunrise,682.51,Attacker,1/26/2001,23 Tahun,Tanker
Miriam Thornton,ISTP,22,160,Modern,The Explorers,Ruin Pulse Engine,Pendek,Miriam Thornton [ISTP],142.34,14.14,2.12,29.28,36.11%,222.85,62.16%,19.246,Southern Isles,411.7127,Balanced,9/8/2002,22 Tahun,Reguler
Owen Pemberton,ISFJ,23,185,Fantasy,The Sentinels,Resonant Aria / Performer,Tinggi,Owen Pemberton [ISFJ],57.12,27.8,23.44,15.92,78.73%,270.08,82.25%,49.6869,Eastern Sunrise,395.9698,Balanced,3/12/2001,23 Tahun,Reguler
Mika Kato,ENTP,22,167,Modern,The Analysts,Covenant Bond / Healer & Diplomat,Pendek,Mika Kato [ENTP],25.41,57.15,44.04,56.99,28.18%,12.46,80.53%,73.2549,Northern Tundra,197.1371,Attacker,6/17/2002,22 Tahun,Squad Inti
Cassian Aikawa,ENTP,21,176,Modern,The Analysts,Sensory Collapse Domain,Tinggi,Cassian Aikawa [ENTP],140.6,97.69,8.33,59.23,21.89%,137.19,81.26%,119.0743,Eastern Sunrise,444.0715,Balanced,3/22/2003,21 Tahun,Brawler
Asher Chen,ENFP,22,173,Modern,The Diplomats,Dominion Mark,Normal,Asher Chen [ENFP],136.03,18.18,48.07,89.84,71.79%,69.78,47.55%,31.2314,Eastern Sunrise,363.0934,Support,2/18/2002,22 Tahun,Squad Inti
Ryo Morven,ENTP,23,177,Fantasy,The Analysts,Guillotine Line,Tinggi,Ryo Morven [ENTP],37.0,33.08,56.89,50.07,66.51%,39.72,82.45%,55.0815,Southern Isles,218.2496,Balanced,5/29/2001,23 Tahun,Tactician
Seraphina Dawnforge,ISFP,22,181,Fantasy,The Explorers,Essence Severance,Tinggi,Seraphina Dawnforge [ISFP],2.51,53.5,20.43,37.09,45.03%,64.56,71.35%,77.591,Western Citadel,179.2538,Balanced,6/7/2002,22 Tahun,Tactician
Piper Nakamura,ENFJ,23,179,Modern,The Diplomats,Gravity Rend,Tinggi,Piper Nakamura [ENFJ],125.39,38.58,36.52,32.48,58.45%,150.73,75.09%,61.13,Eastern Sunrise,385.0354,Balanced,6/10/2001,23 Tahun,Squad Inti
Blaine Ironfield,ISFJ,23,184,Fantasy,The Sentinels,Soulfire Manifestation,Tinggi,Blaine Ironfield [ISFJ],97.11,43.97,66.09,9.02,75.43%,337.76,62.37%,77.1366,Southern Isles,555.328,Support,5/25/2001,23 Tahun,Tanker
Ren Morven,ISTJ,23,167,Fantasy,The Sentinels,Transmutation Aura / Alchemist,Pendek,Ren Morven [ISTJ],139.62,22.75,33.28,11.14,65.92%,350.64,50.94%,37.7468,Northern Tundra,558.5986,Support,5/12/2001,23 Tahun,Brawler
Nami Drayton,ISTP,23,163,Modern,The Explorers,Absolute Command / General,Pendek,Nami Drayton [ISTP],43.06,76.69,90.31,70.69,93.65%,170.9,54.44%,148.5102,Southern Isles,453.1309,Attacker,2/6/2001,23 Tahun,Ranger
