Nama Karakter,MBTI,Umur,Tinggi (cm),Grup,Sub-Kelompok,Role / Kekuatan Utama,Kategori Tinggi,ID Karakter,HP,ATK,DEF,SPD,Crit Rate,MP,Win Rate,Potensi Damage,Faction,Total Stat,Role,Tanggal Lahir,Umur Akurat,Status Squad
Hana Swiftwind,ISTJ,22,167,Modern,The Sentinels,Absolute Command / General,Pendek,Hana Swiftwind [ISTJ],101.83,89.33,9.61,42.77,29.68%,12.89,62.74%,115.8431,Northern Tundra,257.3542,Support,4/3/2002,22 Tahun,Squad Inti
Orion Declan,ENTP,22,178,Modern,The Analysts,Triage Field / Field Medic,Tinggi,Orion Declan [ENTP],105.02,34.68,16.39,95.76,18.35%,135.3,44.35%,41.0438,Southern Isles,387.777,Support,7/24/2002,22 Tahun,Tanker
Naoki Rossi,INTJ,23,172,Fantasy,The Analysts,Sensory Collapse Domain,Normal,Naoki Rossi [INTJ],87.03,70.75,5.54,23.56,17.18%,116.47,50.48%,82.9048,Northern Tundra,304.0266,Attacker,6/11/2001,23 Tahun,Tanker
Iris Kline,ESFP,21,165,Fantasy,The Explorers,Damage Reflection Lattice,Pendek,Iris Kline [ESFP],100.86,70.48,68.67,8.07,58.07%,254.36,51.02%,111.4077,Western Citadel,503.5309,Attacker,1/29/2003,21 Tahun,Tanker
Vale Pemberton,ESFJ,23,184,Modern,The Sentinels,Ruin Pulse Engine,Tinggi,Vale Pemberton [ESFJ],120.95,40.72,7.55,91.4,74.61%,227.3,49.57%,71.1012,Western Citadel,489.1618,Attacker,4/25/2001,23 Tahun,Brawler
Nova Coldwater,ESFP,22,164,Fantasy,The Explorers,Living Canvas / Cartographer,Pendek,Nova Coldwater [ESFP],134.78,40.54,22.71,99.76,18.18%,204.3,42.12%,47.9102,Northern Tundra,502.693,Balanced,5/21/2002,22 Tahun,Brawler
Vale Langley,ESTP,23,179,Fantasy,The Explorers,Emotional Vectoring,Tinggi,Vale Langley [ESTP],89.79,47.34,25.89,55.77,71.23%,377.03,45.15%,81.0603,Southern Isles,596.9838,Support,5/11/2001,23 Tahun,Tanker
Airi Mirren,ISTJ,21,165,Modern,The Sentinels,Soulfire Manifestation,Pendek,Airi Mirren [ISTJ],145.81,76.43,51.26,11.53,85.75%,250.49,62.84%,141.9687,Eastern Sunrise,537.0059,Balanced,7/19/2003,21 Tahun,Tanker
Ansel Lopez,ESTP,22,179,Fantasy,The Explorers,Gravity Rend,Tinggi,Ansel Lopez [ESTP],17.67,36.94,98.55,80.87,31.68%,96.54,65.53%,48.6426,Northern Tundra,331.5421,Balanced,10/26/2002,22 Tahun,Brawler
Taro Muller,ENFP,21,164,Modern,The Diplomats,Soulfire Manifestation,Pendek,Taro Muller [ENFP],79.62,61.05,96.47,92.96,72.09%,302.35,72.08%,105.0609,Western Citadel,633.8917,Support,9/1/2003,21 Tahun,Brawler
