Sale ID,Basket ID,Item ID,Type,Mfr,Category,Qty,Price,Discount %,Total,Store ID,Date Time,Store Name
1,1,asc-72,A,Acme,Gardening,6,18.02,0,108.12,3,43487.60087,Atlantis
3,3,asc-1,A,Acme,Gardening,4,109.77,0,439.08,3,43466.62573,Atlantis
4,3,asc-76,B,Tyrell Corp.,Bathroom,8,98.28,0,786.24,3,43469.56032,Atlantis
5,3,asc-17,A,Acme,Gardening,7,29.27,0,204.89,3,43477.68756,Atlantis
7,5,asc-16,A,Cyberdyne,Gardening,1,51.94,0,51.94,3,43494.82853,Atlantis
8,6,asc-61,A,Acme,Roofing,5,56.32,0.12,247.81,3,43477.68174,Atlantis
17,9,asc-99,A,Acme,Kitchen,2,110.73,0,221.46,3,43484.3712,Atlantis
23,12,asc-28,A,Cyberdyne,Roofing,2,39.46,0,78.92,3,43475.34074,Atlantis
29,17,asc-37,B,Tyrell Corp.,Gardening,5,61.92,0,309.6,3,43471.80914,Atlantis
39,25,asc-9,C,Cyberdyne,Bathroom,5,70.51,0.05,334.92,3,43490.82737,Atlantis
41,26,asc-20,B,Tyrell Corp.,Kitchen,7,108.77,0,761.39,3,43468.54398,Atlantis
43,28,asc-32,A,Cyberdyne,Gardening,5,106.16,0.05,504.26,3,43470.83083,Atlantis
45,29,asc-68,A,Acme,Bathroom,6,6.2,0,37.2,3,43477.55595,Atlantis
51,33,asc-78,A,Tyrell Corp.,Roofing,1,105.95,0,105.95,3,43488.7173,Atlantis
55,35,asc-8,B,Tyrell Corp.,Bathroom,2,68.74,0.05,130.61,3,43477.57958,Atlantis
58,36,asc-13,A,Cyberdyne,Gardening,1,85.52,0,85.52,3,43488.74003,Atlantis
60,37,asc-91,C,Tyrell Corp.,Roofing,3,99.06,0.05,282.32,3,43474.46806,Atlantis
64,40,asc-56,B,Acme,Kitchen,2,6.72,0,13.44,3,43469.41965,Atlantis
65,40,asc-46,C,Acme,Roofing,3,6.74,0.05,19.21,3,43472.39132,Atlantis
66,41,asc-38,C,Tyrell Corp.,Bathroom,6,48.34,0,290.04,3,43471.38155,Atlantis
80,49,asc-73,B,Acme,Roofing,3,51,0.1,137.7,3,43485.62275,Atlantis
83,50,asc-86,A,Acme,Bathroom,3,27.41,0,82.23,3,43481.44672,Atlantis
85,51,asc-88,C,Acme,Bathroom,1,72.53,0,72.53,3,43467.38069,Atlantis
97,59,asc-49,C,Acme,Roofing,2,60.13,0,120.26,3,43467.53324,Atlantis
99,60,asc-67,B,Tyrell Corp.,Kitchen,3,100.18,0,300.54,3,43482.39838,Atlantis
