Sale ID,Basket ID,Item ID,Type,Mfr,Category,Qty,Price,Discount %,Total,Store ID,Date Time,Store Name
9,6,asc-2,C,Acme,Roofing,8,38.98,0,311.84,4,43481.75242,Green Mall
11,7,asc-24,C,Acme,Kitchen,3,85.1,0.1,229.77,4,43470.46052,Green Mall
12,8,asc-26,C,Cyberdyne,Gardening,3,116.81,0,350.43,4,43473.60123,Green Mall
15,9,asc-23,C,Cyberdyne,Roofing,8,20.13,0,161.04,4,43469.44243,Green Mall
21,12,asc-52,B,Cyberdyne,Gardening,4,15.44,0.05,58.67,4,43488.76956,Green Mall
24,13,asc-10,C,Tyrell Corp.,Gardening,1,96.99,0,96.99,4,43484.73267,Green Mall
26,15,asc-94,C,Cyberdyne,Gardening,1,105.87,0,105.87,4,43472.67419,Green Mall
27,16,asc-57,A,Cyberdyne,Roofing,2,58,0.12,102.08,4,43470.40573,Green Mall
30,18,asc-60,B,Tyrell Corp.,Kitchen,1,108.13,0,108.13,4,43474.68876,Green Mall
34,22,asc-58,C,Tyrell Corp.,Roofing,3,56.39,0.12,148.87,4,43488.41491,Green Mall
35,22,asc-90,B,Acme,Gardening,8,124.1,0,992.8,4,43469.38263,Green Mall
36,23,asc-7,C,Cyberdyne,Gardening,2,44.17,0,88.34,4,43490.59929,Green Mall
38,25,asc-82,C,Acme,Gardening,3,43.69,0,131.07,4,43469.41028,Green Mall
47,30,asc-59,A,Acme,Gardening,4,87.64,0,350.56,4,43470.48318,Green Mall
48,31,asc-5,B,Acme,Roofing,3,46.44,0.12,122.6,4,43469.80251,Green Mall
52,34,asc-62,A,Acme,Gardening,3,112.64,0,337.92,4,43480.62976,Green Mall
69,43,asc-83,A,Cyberdyne,Gardening,9,7.2,0.05,61.56,4,43469.48282,Green Mall
70,44,asc-71,A,Acme,Kitchen,2,52.01,0,104.02,4,43487.66547,Green Mall
71,45,asc-84,A,Acme,Kitchen,9,46.94,0,422.46,4,43469.81874,Green Mall
72,46,asc-12,B,Acme,Gardening,3,108.48,0.1,292.9,4,43473.56131,Green Mall
74,46,asc-75,B,Cyberdyne,Roofing,2,34.7,0,69.4,4,43483.79596,Green Mall
75,46,asc-45,C,Acme,Bathroom,9,51.91,0,467.19,4,43468.79514,Green Mall
76,47,asc-15,C,Acme,Gardening,6,3.48,0,20.88,4,43492.81146,Green Mall
77,47,asc-85,B,Acme,Roofing,1,30.38,0,30.38,4,43494.72244,Green Mall
86,52,asc-33,C,Acme,Kitchen,5,105.26,0.1,473.67,4,43469.65065,Green Mall
87,53,asc-31,C,Acme,Bathroom,2,42.23,0.05,80.24,4,43485.50794,Green Mall
88,54,asc-69,A,Acme,Kitchen,2,91.02,0,182.04,4,43483.54355,Green Mall
90,55,asc-100,C,Acme,Roofing,4,111.55,0,446.2,4,43479.72472,Green Mall
93,57,asc-95,A,Acme,Bathroom,7,40.7,0,284.9,4,43475.43236,Green Mall
100,61,asc-43,B,Cyberdyne,Kitchen,8,98.16,0,785.28,4,43471.62993,Green Mall
108,64,asc-61,A,Acme,Roofing,6,56.32,0,337.92,4,43489.76786,Green Mall
109,64,asc-2,C,Acme,Roofing,6,38.98,0,233.88,4,43492.63429,Green Mall
119,70,asc-53,C,Cyberdyne,Kitchen,2,49.18,0,98.36,4,43492.82256,Green Mall
125,76,asc-65,B,Tyrell Corp.,Roofing,3,67.76,0,203.28,4,43468.41252,Green Mall
126,76,asc-94,C,Cyberdyne,Gardening,5,105.87,0.1,476.42,4,43486.79183,Green Mall
133,81,asc-63,C,Acme,Kitchen,4,81.91,0,327.64,4,43482.39601,Green Mall
141,87,asc-20,B,Tyrell Corp.,Kitchen,9,108.77,0.05,929.98,4,43490.71493,Green Mall
147,90,asc-59,A,Acme,Gardening,7,87.64,0,613.48,4,43472.43529,Green Mall
152,93,asc-62,A,Acme,Gardening,2,112.64,0.05,214.02,4,43466.62288,Green Mall
153,93,asc-47,A,Tyrell Corp.,Kitchen,8,55.41,0,443.28,4,43490.53444,Green Mall
154,94,asc-25,B,Tyrell Corp.,Gardening,8,25.32,0,202.56,4,43478.42563,Green Mall
166,102,asc-38,C,Tyrell Corp.,Bathroom,5,48.34,0,241.7,4,43492.82524,Green Mall
170,105,asc-71,A,Acme,Kitchen,9,52.01,0,468.09,4,43492.69318,Green Mall
171,105,asc-84,A,Acme,Kitchen,6,46.94,0,281.64,4,43479.46678,Green Mall
178,106,asc-22,C,Cyberdyne,Kitchen,9,111.58,0,1004.22,4,43492.6094,Green Mall
180,107,asc-73,B,Acme,Roofing,7,51,0.1,321.3,4,43468.70042,Green Mall
184,109,asc-21,A,Cyberdyne,Roofing,8,82.82,0,662.56,4,43480.67715,Green Mall
185,109,asc-88,C,Acme,Bathroom,4,72.53,0.12,255.31,4,43479.42094,Green Mall
188,112,asc-69,A,Acme,Kitchen,9,91.02,0.1,737.26,4,43477.71948,Green Mall
190,114,asc-100,C,Acme,Roofing,6,111.55,0.05,635.84,4,43479.54872,Green Mall
192,115,asc-27,C,Cyberdyne,Kitchen,4,25.79,0.12,90.78,4,43490.72373,Green Mall
193,116,asc-95,A,Acme,Bathroom,7,40.7,0,284.9,4,43473.73492,Green Mall
201,124,asc-72,A,Acme,Gardening,4,18.02,0,72.08,4,43480.40422,Green Mall
206,126,asc-35,A,Tyrell Corp.,Gardening,5,65.42,0,327.1,4,43480.5147,Green Mall
207,126,asc-16,A,Cyberdyne,Gardening,5,51.94,0,259.7,4,43478.54177,Green Mall
208,126,asc-61,A,Acme,Roofing,8,56.32,0.05,428.03,4,43468.38022,Green Mall
209,126,asc-2,C,Acme,Roofing,9,38.98,0,350.82,4,43486.54525,Green Mall
214,130,asc-34,C,Acme,Bathroom,6,103.21,0.12,544.95,4,43471.74426,Green Mall
216,131,asc-40,C,Acme,Bathroom,6,65.08,0,390.48,4,43496.79483,Green Mall
219,131,asc-53,C,Cyberdyne,Kitchen,1,49.18,0.05,46.72,4,43483.43321,Green Mall
221,132,asc-52,B,Cyberdyne,Gardening,4,15.44,0,61.76,4,43480.48975,Green Mall
222,132,asc-4,B,Acme,Gardening,4,110.28,0.05,419.06,4,43478.60639,Green Mall
232,137,asc-55,B,Acme,Kitchen,4,17.42,0.1,62.71,4,43492.81199,Green Mall
240,141,asc-51,A,Tyrell Corp.,Kitchen,6,81.05,0.12,427.94,4,43490.35461,Green Mall
241,142,asc-20,B,Tyrell Corp.,Kitchen,4,108.77,0.05,413.33,4,43467.33882,Green Mall
242,143,asc-77,B,Tyrell Corp.,Kitchen,8,115.28,0,922.24,4,43481.71037,Green Mall
245,145,asc-68,A,Acme,Bathroom,4,6.2,0,24.8,4,43494.75319,Green Mall
250,149,asc-42,A,Tyrell Corp.,Gardening,8,93.69,0.12,659.58,4,43473.63263,Green Mall
255,152,asc-8,B,Tyrell Corp.,Bathroom,4,68.74,0,274.96,4,43468.80438,Green Mall
257,153,asc-54,B,Cyberdyne,Bathroom,9,42.44,0,381.96,4,43491.43538,Green Mall
258,154,asc-13,A,Cyberdyne,Gardening,4,85.52,0,342.08,4,43469.52382,Green Mall
260,156,asc-91,C,Tyrell Corp.,Roofing,8,99.06,0,792.48,4,43481.50031,Green Mall
261,157,asc-98,B,Acme,Bathroom,1,68.04,0,68.04,4,43476.80029,Green Mall
270,163,asc-71,A,Acme,Kitchen,1,52.01,0,52.01,4,43466.36432,Green Mall
275,165,asc-45,C,Acme,Bathroom,8,51.91,0,415.28,4,43496.82938,Green Mall
277,166,asc-85,B,Acme,Roofing,5,30.38,0,151.9,4,43473.52101,Green Mall
284,172,asc-21,A,Cyberdyne,Roofing,2,82.82,0.05,157.36,4,43470.59382,Green Mall
286,173,asc-33,C,Acme,Kitchen,2,105.26,0,210.52,4,43467.48889,Green Mall
287,173,asc-31,C,Acme,Bathroom,4,42.23,0,168.92,4,43483.60019,Green Mall
289,175,asc-97,C,Acme,Gardening,9,85.03,0.05,727.01,4,43487.78164,Green Mall
291,177,asc-80,C,Cyberdyne,Roofing,3,77.1,0.1,208.17,4,43484.45802,Green Mall
295,181,asc-96,C,Acme,Roofing,3,81.79,0,245.37,4,43484.52391,Green Mall
308,188,asc-61,A,Acme,Roofing,4,56.32,0,225.28,4,43490.4689,Green Mall
311,190,asc-24,C,Acme,Kitchen,5,85.1,0,425.5,4,43493.74824,Green Mall
313,190,asc-6,A,Cyberdyne,Gardening,2,37.92,0,75.84,4,43495.42457,Green Mall
314,191,asc-34,C,Acme,Bathroom,9,103.21,0,928.89,4,43467.79348,Green Mall
317,192,asc-99,A,Acme,Kitchen,6,110.73,0.05,631.16,4,43483.5726,Green Mall
318,193,asc-30,B,Cyberdyne,Gardening,3,69.92,0,209.76,4,43485.55618,Green Mall
320,193,asc-92,A,Cyberdyne,Kitchen,2,94.85,0.05,180.22,4,43490.62947,Green Mall
328,199,asc-11,B,Cyberdyne,Kitchen,7,106.57,0,745.99,4,43495.62405,Green Mall
333,201,asc-63,C,Acme,Kitchen,1,81.91,0,81.91,4,43488.36634,Green Mall
337,204,asc-19,A,Tyrell Corp.,Bathroom,4,103.97,0,415.88,4,43490.74235,Green Mall
338,204,asc-82,C,Acme,Gardening,7,43.69,0,305.83,4,43490.55602,Green Mall
