Sale ID,Basket ID,Item ID,Type,Mfr,Category,Qty,Price,Discount %,Total,Store ID,Date Time,Store Name
2,2,asc-87,B,Acme,Roofing,6,116.17,0,697.02,2,43488.8223,Greenville
13,8,asc-6,A,Cyberdyne,Gardening,1,37.92,0,37.92,2,43486.39515,Greenville
14,9,asc-34,C,Acme,Bathroom,7,103.21,0.1,650.22,2,43482.38174,Greenville
16,9,asc-40,C,Acme,Bathroom,1,65.08,0,65.08,2,43484.70201,Greenville
20,11,asc-92,A,Cyberdyne,Kitchen,1,94.85,0,94.85,2,43487.36183,Greenville
22,12,asc-4,B,Acme,Gardening,5,110.28,0,551.4,2,43483.55487,Greenville
25,14,asc-65,B,Tyrell Corp.,Roofing,4,67.76,0,271.04,2,43488.59529,Greenville
37,24,asc-19,A,Tyrell Corp.,Bathroom,2,103.97,0.1,187.15,2,43470.64197,Greenville
40,25,asc-51,A,Tyrell Corp.,Kitchen,2,81.05,0.05,154,2,43483.49377,Greenville
46,30,asc-79,C,Acme,Bathroom,7,85.75,0,600.25,2,43472.49703,Greenville
50,32,asc-42,A,Tyrell Corp.,Gardening,6,93.69,0.05,534.03,2,43471.4578,Greenville
54,35,asc-25,B,Tyrell Corp.,Gardening,3,25.32,0.05,72.16,2,43468.6474,Greenville
62,38,asc-39,C,Cyberdyne,Gardening,5,101.3,0.12,445.72,2,43493.4624,Greenville
68,42,asc-64,C,Tyrell Corp.,Kitchen,5,119.04,0,595.2,2,43466.59953,Greenville
73,46,asc-81,C,Tyrell Corp.,Kitchen,7,44.08,0,308.56,2,43488.38235,Greenville
78,48,asc-22,C,Cyberdyne,Kitchen,6,111.58,0,669.48,2,43481.48814,Greenville
79,49,asc-18,C,Cyberdyne,Kitchen,2,56.43,0,112.86,2,43467.76744,Greenville
82,50,asc-29,C,Cyberdyne,Roofing,2,92.17,0,184.34,2,43478.51063,Greenville
84,51,asc-21,A,Cyberdyne,Roofing,5,82.82,0,414.1,2,43466.38484,Greenville
89,54,asc-97,C,Acme,Gardening,3,85.03,0,255.09,2,43487.79094,Greenville
92,56,asc-27,C,Cyberdyne,Kitchen,1,25.79,0.12,22.7,2,43484.72214,Greenville
96,59,asc-36,C,Tyrell Corp.,Bathroom,2,85.24,0,170.48,2,43494.38255,Greenville
98,60,asc-93,A,Cyberdyne,Roofing,1,74.57,0,74.57,2,43475.40813,Greenville
110,65,asc-74,A,Cyberdyne,Gardening,5,102.09,0,510.45,2,43486.83115,Greenville
111,65,asc-24,C,Acme,Kitchen,5,85.1,0,425.5,2,43496.63676,Greenville
114,67,asc-34,C,Acme,Bathroom,5,103.21,0,516.05,2,43475.78917,Greenville
116,68,asc-40,C,Acme,Bathroom,1,65.08,0,65.08,2,43495.57084,Greenville
118,70,asc-30,B,Cyberdyne,Gardening,3,69.92,0.05,199.27,2,43493.4725,Greenville
120,71,asc-92,A,Cyberdyne,Kitchen,1,94.85,0,94.85,2,43471.38846,Greenville
121,72,asc-52,B,Cyberdyne,Gardening,5,15.44,0,77.2,2,43488.76822,Greenville
124,75,asc-10,C,Tyrell Corp.,Gardening,5,96.99,0.1,436.46,2,43490.60402,Greenville
132,80,asc-55,B,Acme,Kitchen,1,17.42,0,17.42,2,43470.34572,Greenville
135,82,asc-90,B,Acme,Gardening,8,124.1,0.1,893.52,2,43486.71284,Greenville
139,85,asc-9,C,Cyberdyne,Bathroom,7,70.51,0,493.57,2,43494.79288,Greenville
140,86,asc-51,A,Tyrell Corp.,Kitchen,4,81.05,0,324.2,2,43472.41836,Greenville
142,88,asc-77,B,Tyrell Corp.,Kitchen,2,115.28,0,230.56,2,43495.41318,Greenville
