Name,Group,MBTI,Power,Endurance,Defense,Agility,Intelligence,Perception,Total,Average
Paula Lopez,Analysts,INTP,75,50,60,40,95,88,408,68.00
Mica Dwyer,Analysts,ENTP,72,65,50,70,85,80,422,70.33
Hiromi Masaki,Analysts,INTJ,78,60,55,45,92,90,420,70.00
Gillian Wiley,Analysts,ENTJ,90,80,65,68,88,82,473,78.83
Hayami Amamiya,Explorers,ISTP,80,75,70,92,85,90,492,82.00
Shaye Kaylen,Explorers,ESTP,85,78,60,90,60,82,455,75.83
Shiina Ishioka,Explorers,ISFP,70,72,68,75,65,78,428,71.33
Theresa Felix,Explorers,ESFP,60,65,55,80,50,92,402,67.00
Chiyo Funai,Sentinels,ISTJ,68,80,78,60,72,85,443,73.83
Shizuka Aikawa,Sentinels,ESTJ,88,82,70,72,78,75,465,77.50
Mayumi Sasaki,Sentinels,ISFJ,50,85,88,55,68,80,426,71.00
Lily Raven,Sentinels,ESFJ,62,70,60,68,65,88,413,68.83
Sonia Spade,Diplomats,INFJ,50,58,50,55,90,95,398,66.33
Himiko Nakayama,Diplomats,ENFJ,65,72,58,70,85,88,438,73.00
Katie Olson,Diplomats,INFP,72,55,48,60,78,82,395,65.83
Emily Caddel,Diplomats,ENFP,58,60,52,82,70,75,397,66.17
